"cell_id","step_ix","simulation_i","sim_time"
"cell451",1529,13,540.083333333299
"cell452",653,6,250.000000000011
"cell453",1150,10,380.083333333317
"cell454",1086,9,950.000000000153
"cell455",1878,16,400.083333333312
"cell456",1852,16,140.083333333332
"cell457",2406,20,840.000000000103
"cell458",1480,13,50.0000000000003
"cell459",1024,9,330.083333333328
"cell460",1028,9,370.083333333319
"cell461",2567,22,30.0833333333332
"cell462",2152,18,720.000000000048
"cell463",543,5,360.083333333321
"cell464",2616,22,520.08333333329
"cell465",1059,9,680.00000000003
"cell466",1059,9,680.00000000003
"cell467",1166,10,540.083333333299
"cell468",2570,22,60.0000000000006
"cell469",690,6,620.000000000003
"cell470",1244,11,110.083333333331
"cell471",2841,24,350.083333333324
"cell472",1033,9,420.083333333308
"cell473",1032,9,410.08333333331
"cell474",549,5,420.083333333308
"cell475",1635,14,390.083333333314
"cell476",2365,20,430.083333333305
"cell477",1033,9,420.083333333308
"cell478",767,7,180.000000000003
"cell479",1430,12,760.000000000066
"cell480",2699,23,140.083333333332
"cell481",1986,17,270.000000000008
"cell482",232,2,880.000000000121
"cell483",195,2,510.083333333287
"cell484",1962,17,30.0833333333332
"cell485",767,7,180.000000000003
"cell486",1871,16,330.083333333328
"cell487",2480,21,370.083333333319
"cell488",1032,9,410.08333333331
"cell489",165,2,210.000000000006
"cell490",2344,20,220.000000000008
"cell491",1497,13,220.000000000008
"cell492",2222,19,210.000000000006
"cell493",393,4,70.0000000000004
"cell494",1671,14,750.000000000062
"cell495",1238,11,50.0000000000003
"cell496",1032,9,410.08333333331
"cell497",1600,14,40
"cell498",94,1,710.000000000043
"cell499",2461,21,180.000000000003
"cell500",1428,12,740.000000000057
