"cell_id","step_ix","simulation_i","sim_time"
"cell267",3443,19,1290.08333333328
"cell268",3716,21,380.083333333317
"cell269",3373,19,590.083333333322
"cell270",3135,18,30.0833333333332
"cell271",3237,18,1050.00000000016
"cell272",993,6,450.083333333301
"cell273",3999,22,1390.08333333319
"cell274",2112,12,720.000000000048
"cell275",3273,18,1410.08333333317
"cell276",299,2,790.00000000008
"cell277",1312,8,0
"cell278",3884,22,240.00000000001
"cell279",4104,23,620.000000000003
"cell280",2533,14,1290.08333333328
"cell281",1953,11,950.000000000153
"cell282",52,1,140.083333333332
"cell283",108,1,700.000000000039
"cell284",1393,8,810.000000000089
"cell285",892,5,1260.0833333333
"cell286",1797,10,1210.00000000002
"cell287",2095,12,550.083333333304
"cell288",710,4,1260.0833333333
"cell289",1772,10,960.000000000157
"cell290",274,2,540.083333333299
"cell291",2806,16,380.083333333317
"cell292",767,5,10
"cell293",2810,16,420.083333333308
"cell294",3945,22,850.000000000107
"cell295",1901,11,430.083333333305
"cell296",2487,14,830.000000000098
"cell297",1317,8,50.0000000000003
"cell298",316,2,960.000000000157
"cell299",3746,21,680.00000000003
"cell300",1172,7,420.083333333308
"cell301",4175,23,1330.08333333324
"cell302",1400,8,880.000000000121
"cell303",3879,22,190.000000000004
"cell304",4342,24,1180.00000000004
"cell305",1899,11,410.08333333331
"cell306",807,5,410.08333333331
"cell307",319,2,990.000000000171
"cell308",2109,12,690.000000000034
"cell309",1046,6,980.000000000166
"cell310",1892,11,340.083333333326
"cell311",3173,18,410.08333333331
"cell312",429,3,270.000000000008
"cell313",2585,15,0
"cell314",3084,17,1340.08333333323
"cell315",4087,23,450.083333333301
"cell316",3049,17,990.000000000171
"cell317",3057,17,1070.00000000014
"cell318",3313,19,0
"cell319",1817,10,1410.08333333317
"cell320",2862,16,940.000000000148
"cell321",2161,12,1210.00000000002
"cell322",2039,12,0
"cell323",655,4,710.000000000043
"cell324",3859,22,0
"cell325",536,3,1340.08333333323
"cell326",1676,10,0
"cell327",4267,24,430.083333333305
"cell328",3133,18,10
