"cell_id","step_ix","simulation_i","sim_time"
"cell377",304,4,120.083333333331
"cell378",1981,22,330.083333333328
"cell379",431,5,470.083333333296
"cell380",1249,14,370.083333333319
"cell381",1552,17,640.000000000012
"cell382",966,11,300.000000000002
"cell383",805,9,530.083333333295
"cell384",1783,20,190.000000000004
"cell385",728,8,680.00000000003
"cell386",1792,20,280.000000000006
"cell387",618,7,500.083333333289
"cell388",1288,14,766.8
"cell389",640,7,720.000000000048
"cell390",1213,14,10
"cell391",762,9,100.083333333332
"cell392",1348,15,440.083333333303
"cell393",361,4,690.000000000034
"cell394",1424,16,280.000000000006
"cell395",1253,14,410.08333333331
"cell396",1317,15,130.083333333331
"cell397",1612,18,320.08333333333
"cell398",1280,14,680.00000000003
"cell399",454,5,700.000000000039
"cell400",1274,14,620.000000000003
"cell401",1276,14,640.000000000012
"cell402",323,4,310.083333333333
"cell403",1697,19,250.000000000011
"cell404",227,3,270.000000000008
"cell405",1771,20,70.0000000000004
"cell406",1930,21,740.000000000057
"cell407",892,10,480.083333333294
"cell408",1283,14,710.000000000043
"cell409",1044,12,160.000000000001
"cell410",610,7,420.083333333308
"cell411",444,5,600.083333333327
"cell412",304,4,120.083333333331
"cell413",25,1,90.0833333333326
"cell414",455,5,710.000000000043
"cell415",599,7,310.083333333333
"cell416",2141,24,90.0833333333326
"cell417",395,5,110.083333333331
"cell418",858,10,140.083333333332
"cell419",859,10,150.083333333333
"cell420",327,4,350.083333333324
"cell421",640,7,720.000000000048
"cell422",1981,22,330.083333333328
"cell423",1672,19,0
"cell424",1250,14,380.083333333317
"cell425",824,9,720.000000000048
"cell426",1772,20,80.0833333333331
"cell427",356,4,640.000000000012
"cell428",531,6,550.083333333304
"cell429",1921,21,650.000000000016
"cell430",688,8,280.000000000006
"cell431",209,3,90.0833333333326
"cell432",1249,14,370.083333333319
"cell433",1036,12,80.0833333333331
"cell434",887,10,430.083333333305
"cell435",1367,15,630.000000000007
"cell436",1276,14,640.000000000012
"cell437",1159,13,390.083333333314
"cell438",121,2,130.083333333331
"cell439",938,11,20.0833333333333
"cell440",303,4,110.083333333331
"cell441",2165,24,330.083333333328
"cell442",1352,15,480.083333333294
"cell443",1680,19,80.0833333333331
"cell444",634,7,660.000000000021
"cell445",615,7,470.083333333296
"cell446",1120,13,0
"cell447",1954,22,60.0000000000006
"cell448",959,11,230.000000000009
"cell449",947,11,110.083333333331
"cell450",1910,21,540.083333333299
"cell451",1912,21,560.083333333309
"cell452",1957,22,90.0833333333326
"cell453",667,8,70.0000000000004
"cell454",2140,24,80.0833333333331
"cell455",1678,19,60.0000000000006
"cell456",610,7,420.083333333308
"cell457",826,9,740.000000000057
"cell458",868,10,240.00000000001
"cell459",2165,24,330.083333333328
"cell460",2011,22,630.000000000007
"cell461",249,3,490.083333333292
"cell462",1689,19,170.000000000002
"cell463",1512,17,240.00000000001
"cell464",1359,15,550.083333333304
"cell465",845,10,10
"cell466",390,5,60.0000000000006
"cell467",435,5,510.083333333287
"cell468",680,8,200.000000000005
"cell469",788,9,360.083333333321
"cell470",1363,15,590.083333333322
"cell471",1340,15,360.083333333321
"cell472",21,1,50.0000000000003
"cell473",2141,24,90.0833333333326
"cell474",511,6,350.083333333324
"cell475",1452,16,560.083333333309
"cell476",76,1,600.083333333327
"cell477",2189,24,570.083333333313
"cell478",2138,24,60.0000000000006
"cell479",1362,15,580.083333333318
"cell480",691,8,310.083333333333
"cell481",389,5,50.0000000000003
"cell482",630,7,620.000000000003
"cell483",2023,22,750.000000000062
"cell484",621,7,530.083333333295
"cell485",1724,19,520.08333333329
"cell486",1040,12,120.083333333331
"cell487",335,4,430.083333333305
"cell488",336,4,440.083333333303
"cell489",425,5,410.08333333331
"cell490",1372,15,680.00000000003
"cell491",1244,14,320.08333333333
"cell492",484,6,80.0833333333331
"cell493",689,8,290.000000000004
"cell494",844,10,0
"cell495",598,7,300.000000000002
"cell496",300,4,80.0833333333331
"cell497",347,4,550.083333333304
"cell498",608,7,400.083333333312
"cell499",956,11,200.000000000005
"cell500",1432,16,360.083333333321
